"","GID_0","NAME_0","GID_1","NAME_1","NL_NAME_1","GID_2","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
"164","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.11_1","Gwynedd","Caernarfonshire and Merionethshire",NA,"Unitary Authority","Unitary Authority",NA,"GB.GD"
"165","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.12_1","Merthyr Tydfil",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.MT"
"166","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.13_1","Monmouthshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.MM"
"167","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.14_1","Neath Port Talbot","Neath and Port Talbot",NA,"Unitary Authority","Unitary Authority",NA,"GB.NP"
"168","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.15_1","Newport",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.NO"
"169","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.16_1","Pembrokeshire",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.PE"
"170","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.17_1","Powys",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.PO"
"171","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.18_1","Rhondda, Cynon, Taff",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.RT"
"172","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.19_1","Swansea",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.SW"
"174","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.20_1","Torfaen",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.TF"
"175","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.21_1","Vale of Glamorgan",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.VG"
"176","GBR","United Kingdom","GBR.4_1","Wales",NA,"GBR.4.22_1","Wrexham",NA,NA,"Unitary Authority","Unitary Authority",NA,"GB.WX"
