department,municipality,department_abbreviation,NAME,row_nr
Cundinamarca,Cota,CU,"Cota, CU",511
Cundinamarca,Cucunuba,CU,"Cucunuba, CU",512
Cundinamarca,El Colegio,CU,"El Colegio, CU",513
Cundinamarca,El Penon,CU,"El Penon, CU",514
Cundinamarca,Facatativa,CU,"Facatativa, CU",515
Cundinamarca,Fomeque,CU,"Fomeque, CU",516
Cundinamarca,Fosca,CU,"Fosca, CU",517
Cundinamarca,Funza,CU,"Funza, CU",518
Cundinamarca,Fuquene,CU,"Fuquene, CU",519
Cundinamarca,Fusagasuga,CU,"Fusagasuga, CU",520
Cundinamarca,Gachala,CU,"Gachala, CU",521
Cundinamarca,Gachancipa,CU,"Gachancipa, CU",522
Cundinamarca,Gacheta,CU,"Gacheta, CU",523
Cundinamarca,Gama,CU,"Gama, CU",524
Cundinamarca,Girardot,CU,"Girardot, CU",525
Cundinamarca,Guacheta,CU,"Guacheta, CU",526
Cundinamarca,Guaduas,CU,"Guaduas, CU",527
Cundinamarca,Guasca,CU,"Guasca, CU",528
Cundinamarca,Guataqui,CU,"Guataqui, CU",529
Cundinamarca,Guatavita,CU,"Guatavita, CU",530
Cundinamarca,Guayabal de Siquima,CU,"Guayabal de Siquima, CU",531
Cundinamarca,Guayabetal,CU,"Guayabetal, CU",532
Cundinamarca,Gutierrez,CU,"Gutierrez, CU",533
Cundinamarca,Jerusalen,CU,"Jerusalen, CU",534
Cundinamarca,Junin,CU,"Junin, CU",535
Cundinamarca,La Calera,CU,"La Calera, CU",536
Cundinamarca,La Mesa,CU,"La Mesa, CU",537
Cundinamarca,La Palma,CU,"La Palma, CU",538
Cundinamarca,La Pena,CU,"La Pena, CU",539
Cundinamarca,La Vega,CU,"La Vega, CU",540
Cundinamarca,Lenguazaque,CU,"Lenguazaque, CU",541
Cundinamarca,Macheta,CU,"Macheta, CU",542
Cundinamarca,Madrid,CU,"Madrid, CU",543
Cundinamarca,Manta,CU,"Manta, CU",544
Cundinamarca,Medina,CU,"Medina, CU",545
Cundinamarca,Mosquera,CU,"Mosquera, CU",546
Cundinamarca,Narino,CU,"Narino, CU",547
Cundinamarca,Nemocon,CU,"Nemocon, CU",548
Cundinamarca,Nilo,CU,"Nilo, CU",549
Cundinamarca,Nimaima,CU,"Nimaima, CU",550
Cundinamarca,Nocaima,CU,"Nocaima, CU",551
Cundinamarca,Pacho,CU,"Pacho, CU",552
Cundinamarca,Paime,CU,"Paime, CU",553
Cundinamarca,Pandi,CU,"Pandi, CU",554
Cundinamarca,Paratebueno,CU,"Paratebueno, CU",555
Cundinamarca,Pasca,CU,"Pasca, CU",556
Cundinamarca,Puerto Salgar,CU,"Puerto Salgar, CU",557
Cundinamarca,Puli,CU,"Puli, CU",558
Cundinamarca,Quebradanegra,CU,"Quebradanegra, CU",559
Cundinamarca,Quetame,CU,"Quetame, CU",560
Cundinamarca,Quipile,CU,"Quipile, CU",561
Cundinamarca,Ricaurte,CU,"Ricaurte, CU",562
Cundinamarca,San Antonio del Tequendama,CU,"San Antonio del Tequendama, CU",563
Cundinamarca,San Bernardo,CU,"San Bernardo, CU",564
Cundinamarca,San Cayetano,CU,"San Cayetano, CU",565
Cundinamarca,San Francisco,CU,"San Francisco, CU",566
Cundinamarca,San Juan de Rio Seco,CU,"San Juan de Rio Seco, CU",567
Cundinamarca,Santafe de Bogota,CU,"Santafe de Bogota, CU",568
Cundinamarca,Sasaima,CU,"Sasaima, CU",569
Cundinamarca,Sesquile,CU,"Sesquile, CU",570
Cundinamarca,Sibate,CU,"Sibate, CU",571
Cundinamarca,Silvania,CU,"Silvania, CU",572
Cundinamarca,Simijaca,CU,"Simijaca, CU",573
Cundinamarca,Soacha,CU,"Soacha, CU",574
Cundinamarca,Sopo,CU,"Sopo, CU",575
Cundinamarca,Subachoque,CU,"Subachoque, CU",576
Cundinamarca,Suesca,CU,"Suesca, CU",577
Cundinamarca,Supata,CU,"Supata, CU",578
Cundinamarca,Susa,CU,"Susa, CU",579
Cundinamarca,Sutatausa,CU,"Sutatausa, CU",580
Cundinamarca,Tabio,CU,"Tabio, CU",581
Cundinamarca,Tausa,CU,"Tausa, CU",582
Cundinamarca,Tena,CU,"Tena, CU",583
Cundinamarca,Tenjo,CU,"Tenjo, CU",584
Cundinamarca,Tibacuy,CU,"Tibacuy, CU",585
Cundinamarca,Tibirita,CU,"Tibirita, CU",586
Cundinamarca,Tocaima,CU,"Tocaima, CU",587
Cundinamarca,Tocancipa,CU,"Tocancipa, CU",588
Cundinamarca,Topaipi,CU,"Topaipi, CU",589
Cundinamarca,Ubala,CU,"Ubala, CU",590
Cundinamarca,Ubaque,CU,"Ubaque, CU",591
Cundinamarca,Une,CU,"Une, CU",592
Cundinamarca,Utica,CU,"Utica, CU",593
Cundinamarca,Venecia,CU,"Venecia, CU",594
Cundinamarca,Vergara,CU,"Vergara, CU",595
Cundinamarca,Viani,CU,"Viani, CU",596
Cundinamarca,Villa de San Diego de Ubate,CU,"Villa de San Diego de Ubate, CU",597
Cundinamarca,Villagomez,CU,"Villagomez, CU",598
Cundinamarca,Villapinzon,CU,"Villapinzon, CU",599
Cundinamarca,Villeta,CU,"Villeta, CU",600
Cundinamarca,Viota,CU,"Viota, CU",601
Cundinamarca,Yacopi,CU,"Yacopi, CU",602
Cundinamarca,Zipacon,CU,"Zipacon, CU",603
Cundinamarca,Zipaquira,CU,"Zipaquira, CU",604
Guainia,Barranco Minas,GN,"Barranco Minas, GN",605
Guainia,Cacahual,GN,"Cacahual, GN",606
Guainia,La Guadalupe,GN,"La Guadalupe, GN",607
Guainia,Pana Pana,GN,"Pana Pana, GN",608
Guainia,Puerto Colombia,GN,"Puerto Colombia, GN",609
Guainia,Puerto Inirida,GN,"Puerto Inirida, GN",610
Guainia,San Felipe,GN,"San Felipe, GN",611
Guaviare,Calamar,GV,"Calamar, GV",612
Guaviare,El Retorno,GV,"El Retorno, GV",613
Guaviare,Miraflores,GV,"Miraflores, GV",614
Guaviare,San Jose del Guaviare,GV,"San Jose del Guaviare, GV",615
Huila,Acevedo,HU,"Acevedo, HU",616
Huila,Agrado,HU,"Agrado, HU",617
Huila,Aipe,HU,"Aipe, HU",618
Huila,Algeciras,HU,"Algeciras, HU",619
Huila,Altamira,HU,"Altamira, HU",620
Huila,Baraya,HU,"Baraya, HU",621
Huila,Campoalegre,HU,"Campoalegre, HU",622
Huila,Colombia,HU,"Colombia, HU",623
Huila,Elias,HU,"Elias, HU",624
Huila,Garzon,HU,"Garzon, HU",625
Huila,Gigante,HU,"Gigante, HU",626
Huila,Guadalupe,HU,"Guadalupe, HU",627
Huila,Hobo,HU,"Hobo, HU",628
Huila,Iquira,HU,"Iquira, HU",629
Huila,Isnos,HU,"Isnos, HU",630
Huila,La Argentina,HU,"La Argentina, HU",631
Huila,La Plata,HU,"La Plata, HU",632
Huila,Nataga,HU,"Nataga, HU",633
Huila,Neiva,HU,"Neiva, HU",634
Huila,Oporapa,HU,"Oporapa, HU",635
Huila,Paicol,HU,"Paicol, HU",636
Huila,Palermo,HU,"Palermo, HU",637
Huila,Palestina,HU,"Palestina, HU",638
Huila,Pital,HU,"Pital, HU",639
Huila,Pitalito,HU,"Pitalito, HU",640
Huila,Rivera,HU,"Rivera, HU",641
Huila,Saladoblanco,HU,"Saladoblanco, HU",642
Huila,San Agustin,HU,"San Agustin, HU",643
Huila,Santa Maria,HU,"Santa Maria, HU",644
Huila,Suaza,HU,"Suaza, HU",645
Huila,Tarqui,HU,"Tarqui, HU",646
Huila,Tello,HU,"Tello, HU",647
Huila,Teruel,HU,"Teruel, HU",648
Huila,Tesalia,HU,"Tesalia, HU",649
Huila,Timana,HU,"Timana, HU",650
Huila,Villavieja,HU,"Villavieja, HU",651
Huila,Yaguara,HU,"Yaguara, HU",652
La Guajira,Barrancas,LG,"Barrancas, LG",653
La Guajira,El Molino,LG,"El Molino, LG",654
La Guajira,Fonseca,LG,"Fonseca, LG",655
La Guajira,Maicao,LG,"Maicao, LG",656
La Guajira,Manaure,LG,"Manaure, LG",657
La Guajira,Riohacha,LG,"Riohacha, LG",658
La Guajira,San Juan del Cesar,LG,"San Juan del Cesar, LG",659
La Guajira,Uribia,LG,"Uribia, LG",660
La Guajira,Urumita,LG,"Urumita, LG",661
La Guajira,Villanueva,LG,"Villanueva, LG",662
Magdalena,Aracataca,MA,"Aracataca, MA",663
Magdalena,Ariguani,MA,"Ariguani, MA",664
Magdalena,Cerro de San Antonio,MA,"Cerro de San Antonio, MA",665
Magdalena,Chivolo,MA,"Chivolo, MA",666
Magdalena,Cienaga,MA,"Cienaga, MA",667
Magdalena,El Banco,MA,"El Banco, MA",668
Magdalena,El Pinon,MA,"El Pinon, MA",669
Magdalena,Fundacion,MA,"Fundacion, MA",670
Magdalena,Guamal,MA,"Guamal, MA",671
Magdalena,Pedraza,MA,"Pedraza, MA",672
Magdalena,Pivijay,MA,"Pivijay, MA",673
Magdalena,Plato,MA,"Plato, MA",674
Magdalena,Pueblo Viejo,MA,"Pueblo Viejo, MA",675
Magdalena,Remolino,MA,"Remolino, MA",676
Magdalena,Salamina,MA,"Salamina, MA",677
Magdalena,San Sebastian de Buenavista,MA,"San Sebastian de Buenavista, MA",678
Magdalena,San Zenon,MA,"San Zenon, MA",679
Magdalena,Santa Ana,MA,"Santa Ana, MA",680
Magdalena,Santa Marta (Dist. Esp.),MA,"Santa Marta (Dist. Esp.), MA",681
Magdalena,Tenerife,MA,"Tenerife, MA",682
Meta,Acacias,ME,"Acacias, ME",683
Meta,Barranca de Upia,ME,"Barranca de Upia, ME",684
Meta,Cabuyaro,ME,"Cabuyaro, ME",685
Meta,Castilla la Nueva,ME,"Castilla la Nueva, ME",686
Meta,Cumaral,ME,"Cumaral, ME",687
Meta,El Calvario,ME,"El Calvario, ME",688
Meta,El Castillo,ME,"El Castillo, ME",689
Meta,El Dorado,ME,"El Dorado, ME",690
Meta,Fuente de Oro,ME,"Fuente de Oro, ME",691
Meta,Granada,ME,"Granada, ME",692
Meta,Guamal,ME,"Guamal, ME",693
Meta,La Macarena,ME,"La Macarena, ME",694
Meta,La Uribe,ME,"La Uribe, ME",695
Meta,Lejanias,ME,"Lejanias, ME",696
Meta,Mapiripan,ME,"Mapiripan, ME",697
Meta,Mesetas,ME,"Mesetas, ME",698
Meta,Puerto Concordia,ME,"Puerto Concordia, ME",699
Meta,Puerto Gaitan,ME,"Puerto Gaitan, ME",700
Meta,Puerto Lleras,ME,"Puerto Lleras, ME",701
Meta,Puerto Lopez,ME,"Puerto Lopez, ME",702
Meta,Puerto Rico,ME,"Puerto Rico, ME",703
Meta,Restrepo,ME,"Restrepo, ME",704
Meta,San Carlos de Guaroa,ME,"San Carlos de Guaroa, ME",705
Meta,San Juan de Arama,ME,"San Juan de Arama, ME",706
Meta,San Juanito,ME,"San Juanito, ME",707
Meta,San Luis de Cubarral,ME,"San Luis de Cubarral, ME",708
Meta,San Martin,ME,"San Martin, ME",709
Meta,Villavicencio,ME,"Villavicencio, ME",710
Meta,Vista Hermosa,ME,"Vista Hermosa, ME",711
Narino,Alban,"NA","Alban, NA",712
Narino,Aldana,"NA","Aldana, NA",713
Narino,Ancuya,"NA","Ancuya, NA",714
Narino,Arboleda,"NA","Arboleda, NA",715
Narino,Barbacoas,"NA","Barbacoas, NA",716
Narino,Belen,"NA","Belen, NA",717
Narino,Buesaco,"NA","Buesaco, NA",718
Narino,Chachagui,"NA","Chachagui, NA",719
Narino,Colon,"NA","Colon, NA",720
Narino,Consaca,"NA","Consaca, NA",721
Narino,Contadero,"NA","Contadero, NA",722
Narino,Cordoba,"NA","Cordoba, NA",723
Narino,Cuaspud,"NA","Cuaspud, NA",724
Narino,Cumbal,"NA","Cumbal, NA",725
Narino,Cumbitara,"NA","Cumbitara, NA",726
Narino,El Charco,"NA","El Charco, NA",727
Narino,El Rosario,"NA","El Rosario, NA",728
Narino,El Tablon de Gomez,"NA","El Tablon de Gomez, NA",729
Narino,El Tambo,"NA","El Tambo, NA",730
Narino,Francisco Pizarro,"NA","Francisco Pizarro, NA",731
Narino,Funes,"NA","Funes, NA",732
Narino,Guachucal,"NA","Guachucal, NA",733
Narino,Guaitarilla,"NA","Guaitarilla, NA",734
Narino,Gualmatan,"NA","Gualmatan, NA",735
Narino,Iles,"NA","Iles, NA",736
Narino,Imues,"NA","Imues, NA",737
Narino,Ipiales,"NA","Ipiales, NA",738
Narino,La Cruz,"NA","La Cruz, NA",739
Narino,La Florida,"NA","La Florida, NA",740
Narino,La Llanada,"NA","La Llanada, NA",741
Narino,La Tola,"NA","La Tola, NA",742
Narino,La Union de Sucre,"NA","La Union de Sucre, NA",743
Narino,Leiva,"NA","Leiva, NA",744
Narino,Linares,"NA","Linares, NA",745
Narino,Los Andes,"NA","Los Andes, NA",746
Narino,Magui,"NA","Magui, NA",747
Narino,Mallama,"NA","Mallama, NA",748
Narino,Mosquera,"NA","Mosquera, NA",749
Narino,Olaya Herrera,"NA","Olaya Herrera, NA",750
Narino,Ospina,"NA","Ospina, NA",751
Narino,Policarpa,"NA","Policarpa, NA",752
Narino,Potosi,"NA","Potosi, NA",753
Narino,Providencia,"NA","Providencia, NA",754
Narino,Puerres,"NA","Puerres, NA",755
Narino,Pupiales,"NA","Pupiales, NA",756
Narino,Ricaurte,"NA","Ricaurte, NA",757
Narino,Roberto Payan,"NA","Roberto Payan, NA",758
Narino,Samaniego,"NA","Samaniego, NA",759
Narino,San Bernardo,"NA","San Bernardo, NA",760
Narino,San Juan de Pasto,"NA","San Juan de Pasto, NA",761
Narino,San Lorenzo,"NA","San Lorenzo, NA",762
Narino,San Pablo,"NA","San Pablo, NA",763
Narino,San Pedro de Cartago,"NA","San Pedro de Cartago, NA",764
Narino,Sandona,"NA","Sandona, NA",765
Narino,Santa Barbara,"NA","Santa Barbara, NA",766
Narino,Santa Cruz,"NA","Santa Cruz, NA",767
Narino,Sapuyes,"NA","Sapuyes, NA",768
Narino,Taminango,"NA","Taminango, NA",769
Narino,Tangua,"NA","Tangua, NA",770
Narino,Tumaco,"NA","Tumaco, NA",771
Narino,Tuquerres,"NA","Tuquerres, NA",772
Narino,Yacuanquer,"NA","Yacuanquer, NA",773
Norte de Santander,Abrego,NS,"Abrego, NS",774
Norte de Santander,Arboledas,NS,"Arboledas, NS",775
Norte de Santander,Bochalema,NS,"Bochalema, NS",776
Norte de Santander,Bucarasica,NS,"Bucarasica, NS",777
Norte de Santander,Cachira,NS,"Cachira, NS",778
Norte de Santander,Cacota,NS,"Cacota, NS",779
Norte de Santander,Chinacota,NS,"Chinacota, NS",780
Norte de Santander,Chitaga,NS,"Chitaga, NS",781
Norte de Santander,Convencion,NS,"Convencion, NS",782
Norte de Santander,Cucutilla,NS,"Cucutilla, NS",783
Norte de Santander,Durania,NS,"Durania, NS",784
Norte de Santander,El Carmen,NS,"El Carmen, NS",785
Norte de Santander,El Tarra,NS,"El Tarra, NS",786
Norte de Santander,El Zulia,NS,"El Zulia, NS",787
Norte de Santander,Gramalote,NS,"Gramalote, NS",788
Norte de Santander,Hacari,NS,"Hacari, NS",789
Norte de Santander,Herran,NS,"Herran, NS",790
Norte de Santander,La Esperanza,NS,"La Esperanza, NS",791
Norte de Santander,La Playa de Belen,NS,"La Playa de Belen, NS",792
Norte de Santander,Labateca,NS,"Labateca, NS",793
Norte de Santander,Los Patios,NS,"Los Patios, NS",794
Norte de Santander,Lourdes,NS,"Lourdes, NS",795
Norte de Santander,Mutiscua,NS,"Mutiscua, NS",796
Norte de Santander,Ocana,NS,"Ocana, NS",797
Norte de Santander,Pamplona,NS,"Pamplona, NS",798
Norte de Santander,Pamplonita,NS,"Pamplonita, NS",799
Norte de Santander,Puerto Santander,NS,"Puerto Santander, NS",800
Norte de Santander,Ragonvalia,NS,"Ragonvalia, NS",801
Norte de Santander,Salazar de las Palmas,NS,"Salazar de las Palmas, NS",802
Norte de Santander,San Calixto,NS,"San Calixto, NS",803
Norte de Santander,San Cayetano,NS,"San Cayetano, NS",804
Norte de Santander,San Jose de Cucuta,NS,"San Jose de Cucuta, NS",805
Norte de Santander,Santiago,NS,"Santiago, NS",806
Norte de Santander,Santo Domingo de Silos,NS,"Santo Domingo de Silos, NS",807
Norte de Santander,Sardinata,NS,"Sardinata, NS",808
Norte de Santander,Teorama,NS,"Teorama, NS",809
Norte de Santander,Tibu,NS,"Tibu, NS",810
Norte de Santander,Toledo,NS,"Toledo, NS",811
Norte de Santander,Villa Caro,NS,"Villa Caro, NS",812
Norte de Santander,Villa del Rosario,NS,"Villa del Rosario, NS",813
Putumayo,Colon,PU,"Colon, PU",814
Putumayo,Orito,PU,"Orito, PU",815
Putumayo,Puerto Asis,PU,"Puerto Asis, PU",816
Putumayo,Puerto Caicedo,PU,"Puerto Caicedo, PU",817
Putumayo,Puerto Guzman,PU,"Puerto Guzman, PU",818
Putumayo,Puerto Leguizamo,PU,"Puerto Leguizamo, PU",819
Putumayo,San Francisco,PU,"San Francisco, PU",820
Putumayo,San Miguel de Mocoa,PU,"San Miguel de Mocoa, PU",821
Putumayo,Santiago,PU,"Santiago, PU",822
Putumayo,Sibundoy,PU,"Sibundoy, PU",823
Putumayo,Valle del Guamuez,PU,"Valle del Guamuez, PU",824
Putumayo,Villagarzon,PU,"Villagarzon, PU",825
Quindio,Armenia,QD,"Armenia, QD",826
Quindio,Buenavista,QD,"Buenavista, QD",827
Quindio,Calarca,QD,"Calarca, QD",828
Quindio,Circasia,QD,"Circasia, QD",829
Quindio,Cordoba,QD,"Cordoba, QD",830
Quindio,Filandia,QD,"Filandia, QD",831
Quindio,Genova,QD,"Genova, QD",832
Quindio,La Tebaida,QD,"La Tebaida, QD",833
Quindio,Montenegro,QD,"Montenegro, QD",834
Quindio,Pijao,QD,"Pijao, QD",835
Quindio,Quimbaya,QD,"Quimbaya, QD",836
Quindio,Salento,QD,"Salento, QD",837
Risaralda,Apia,RI,"Apia, RI",838
Risaralda,Balboa,RI,"Balboa, RI",839
Risaralda,Belen de Umbria,RI,"Belen de Umbria, RI",840
Risaralda,Dosquebradas,RI,"Dosquebradas, RI",841
Risaralda,Guatica,RI,"Guatica, RI",842
Risaralda,La Celia,RI,"La Celia, RI",843
Risaralda,La Virginia,RI,"La Virginia, RI",844
Risaralda,Marsella,RI,"Marsella, RI",845
Risaralda,Mistrato,RI,"Mistrato, RI",846
Risaralda,Pereira,RI,"Pereira, RI",847
Risaralda,Pueblo Rico,RI,"Pueblo Rico, RI",848
Risaralda,Quinchia,RI,"Quinchia, RI",849
Risaralda,Santa Rosa de Cabal,RI,"Santa Rosa de Cabal, RI",850
Risaralda,Santuario,RI,"Santuario, RI",851
San Andres y Providencia,Bajo Nuevo Bank,SA,"Bajo Nuevo Bank, SA",852
San Andres y Providencia,Providencia,SA,"Providencia, SA",853
San Andres y Providencia,San Andres,SA,"San Andres, SA",854
Santander,Aguada,ST,"Aguada, ST",855
Santander,Albania,ST,"Albania, ST",856
Santander,Aratoca,ST,"Aratoca, ST",857
Santander,Barbosa,ST,"Barbosa, ST",858
Santander,Barichara,ST,"Barichara, ST",859
Santander,Barrancabermeja,ST,"Barrancabermeja, ST",860
Santander,Betulia,ST,"Betulia, ST",861
Santander,Bolivar,ST,"Bolivar, ST",862
Santander,Bucaramanga,ST,"Bucaramanga, ST",863
Santander,Cabrera,ST,"Cabrera, ST",864
Santander,California,ST,"California, ST",865
Santander,Capitanejo,ST,"Capitanejo, ST",866
Santander,Carcasi,ST,"Carcasi, ST",867
Santander,Cepita,ST,"Cepita, ST",868
Santander,Cerrito,ST,"Cerrito, ST",869
Santander,Charala,ST,"Charala, ST",870
Santander,Charta,ST,"Charta, ST",871
Santander,Chima,ST,"Chima, ST",872
Santander,Chipata,ST,"Chipata, ST",873
Santander,Cimitarra,ST,"Cimitarra, ST",874
Santander,Concepcion,ST,"Concepcion, ST",875
Santander,Confines,ST,"Confines, ST",876
Santander,Contratacion,ST,"Contratacion, ST",877
Santander,Coromoro,ST,"Coromoro, ST",878
Santander,Curiti,ST,"Curiti, ST",879
Santander,El Carmen de Chucuri,ST,"El Carmen de Chucuri, ST",880
Santander,El Guacamayo,ST,"El Guacamayo, ST",881
Santander,El Penon,ST,"El Penon, ST",882
Santander,El Playon,ST,"El Playon, ST",883
Santander,Encino,ST,"Encino, ST",884
Santander,Enciso,ST,"Enciso, ST",885
Santander,Florian,ST,"Florian, ST",886
Santander,Floridablanca,ST,"Floridablanca, ST",887
Santander,Galan,ST,"Galan, ST",888
Santander,Gambita,ST,"Gambita, ST",889
Santander,Giron,ST,"Giron, ST",890
Santander,Guaca,ST,"Guaca, ST",891
Santander,Guadalupe,ST,"Guadalupe, ST",892
Santander,Guapota,ST,"Guapota, ST",893
Santander,Guavata,ST,"Guavata, ST",894
Santander,Guepsa,ST,"Guepsa, ST",895
Santander,Hato,ST,"Hato, ST",896
Santander,Jesus Maria,ST,"Jesus Maria, ST",897
Santander,Jordan,ST,"Jordan, ST",898
Santander,La Belleza,ST,"La Belleza, ST",899
Santander,La Paz,ST,"La Paz, ST",900
Santander,Landazuri,ST,"Landazuri, ST",901
Santander,Lebrija,ST,"Lebrija, ST",902
Santander,Los Santos,ST,"Los Santos, ST",903
Santander,Macaravita,ST,"Macaravita, ST",904
Santander,Malaga,ST,"Malaga, ST",905
Santander,Matanza,ST,"Matanza, ST",906
Santander,Mogotes,ST,"Mogotes, ST",907
Santander,Molagavita,ST,"Molagavita, ST",908
Santander,Ocamonte,ST,"Ocamonte, ST",909
Santander,Oiba,ST,"Oiba, ST",910
Santander,Onzaga,ST,"Onzaga, ST",911
Santander,Palmar,ST,"Palmar, ST",912
Santander,Palmas del Socorro,ST,"Palmas del Socorro, ST",913
Santander,Paramo,ST,"Paramo, ST",914
Santander,Piedecuesta,ST,"Piedecuesta, ST",915
Santander,Pinchote,ST,"Pinchote, ST",916
Santander,Puente Nacional,ST,"Puente Nacional, ST",917
Santander,Puerto Parra,ST,"Puerto Parra, ST",918
Santander,Puerto Wilches,ST,"Puerto Wilches, ST",919
Santander,Rionegro,ST,"Rionegro, ST",920
Santander,Sabana de Torres,ST,"Sabana de Torres, ST",921
Santander,San Andres de Cuerquia,ST,"San Andres de Cuerquia, ST",922
Santander,San Benito,ST,"San Benito, ST",923
Santander,San Gil,ST,"San Gil, ST",924
Santander,San Joaquin,ST,"San Joaquin, ST",925
Santander,San Jose de Miranda,ST,"San Jose de Miranda, ST",926
Santander,San Miguel,ST,"San Miguel, ST",927
Santander,San Vicente de Chucuri,ST,"San Vicente de Chucuri, ST",928
Santander,Santa Barbara,ST,"Santa Barbara, ST",929
Santander,Santa Helena del Opon,ST,"Santa Helena del Opon, ST",930
Santander,Simacota,ST,"Simacota, ST",931
Santander,Socorro,ST,"Socorro, ST",932
Santander,Suaita,ST,"Suaita, ST",933
Santander,Sucre,ST,"Sucre, ST",934
Santander,Surata,ST,"Surata, ST",935
Santander,Tona,ST,"Tona, ST",936
Santander,Valle de San Jose,ST,"Valle de San Jose, ST",937
Santander,Velez,ST,"Velez, ST",938
Santander,Vetas,ST,"Vetas, ST",939
Santander,Villanueva,ST,"Villanueva, ST",940
Santander,Zapatoca,ST,"Zapatoca, ST",941
Sucre,Buenavista,SU,"Buenavista, SU",942
Sucre,Caimito,SU,"Caimito, SU",943
Sucre,Chalan,SU,"Chalan, SU",944
Sucre,Coloso,SU,"Coloso, SU",945
Sucre,Corozal,SU,"Corozal, SU",946
Sucre,Galeras,SU,"Galeras, SU",947
Sucre,Guaranda,SU,"Guaranda, SU",948
Sucre,La Union de Sucre,SU,"La Union de Sucre, SU",949
Sucre,Los Palmitos,SU,"Los Palmitos, SU",950
Sucre,Majagual,SU,"Majagual, SU",951
Sucre,Morroa,SU,"Morroa, SU",952
Sucre,Ovejas,SU,"Ovejas, SU",953
Sucre,Sampues,SU,"Sampues, SU",954
Sucre,San Antonio de Palmito,SU,"San Antonio de Palmito, SU",955
Sucre,San Benito Abad,SU,"San Benito Abad, SU",956
Sucre,San Juan de Betulia,SU,"San Juan de Betulia, SU",957
Sucre,San Marcos,SU,"San Marcos, SU",958
Sucre,San Onofre,SU,"San Onofre, SU",959
Sucre,San Pedro,SU,"San Pedro, SU",960
Sucre,Since,SU,"Since, SU",961
Sucre,Sincelejo,SU,"Sincelejo, SU",962
Sucre,Sucre,SU,"Sucre, SU",963
Sucre,Tolu,SU,"Tolu, SU",964
Sucre,Toluviejo,SU,"Toluviejo, SU",965
Tolima,Alpujarra,TO,"Alpujarra, TO",966
Tolima,Alvarado,TO,"Alvarado, TO",967
Tolima,Ambalema,TO,"Ambalema, TO",968
Tolima,Anzoategui,TO,"Anzoategui, TO",969
Tolima,Armero,TO,"Armero, TO",970
Tolima,Ataco,TO,"Ataco, TO",971
Tolima,Cajamarca,TO,"Cajamarca, TO",972
Tolima,Carmen de Apicala,TO,"Carmen de Apicala, TO",973
Tolima,Casabianca,TO,"Casabianca, TO",974
Tolima,Chaparral,TO,"Chaparral, TO",975
Tolima,Coello,TO,"Coello, TO",976
Tolima,Coyaima,TO,"Coyaima, TO",977
Tolima,Cunday,TO,"Cunday, TO",978
Tolima,Dolores,TO,"Dolores, TO",979
Tolima,Espinal,TO,"Espinal, TO",980
Tolima,Falan,TO,"Falan, TO",981
Tolima,Flandes,TO,"Flandes, TO",982
Tolima,Fresno,TO,"Fresno, TO",983
Tolima,Guamo,TO,"Guamo, TO",984
Tolima,Herveo,TO,"Herveo, TO",985
Tolima,Honda,TO,"Honda, TO",986
Tolima,Ibague,TO,"Ibague, TO",987
Tolima,Icononzo,TO,"Icononzo, TO",988
Tolima,Lerida,TO,"Lerida, TO",989
Tolima,Libano,TO,"Libano, TO",990
Tolima,Melgar,TO,"Melgar, TO",991
Tolima,Murillo,TO,"Murillo, TO",992
Tolima,Natagaima,TO,"Natagaima, TO",993
Tolima,Ortega,TO,"Ortega, TO",994
Tolima,Piedras,TO,"Piedras, TO",995
Tolima,Planadas,TO,"Planadas, TO",996
Tolima,Prado,TO,"Prado, TO",997
Tolima,Purificacion,TO,"Purificacion, TO",998
Tolima,Rioblanco,TO,"Rioblanco, TO",999
Tolima,Roncesvalles,TO,"Roncesvalles, TO",1000
Tolima,Rovira,TO,"Rovira, TO",1001
Tolima,Saldana,TO,"Saldana, TO",1002
Tolima,San Antonio,TO,"San Antonio, TO",1003
Tolima,San Luis,TO,"San Luis, TO",1004
Tolima,San Sebastian de Mariquita,TO,"San Sebastian de Mariquita, TO",1005
Tolima,Santa Isabel,TO,"Santa Isabel, TO",1006
Tolima,Suarez,TO,"Suarez, TO",1007
Tolima,Valle de San Juan,TO,"Valle de San Juan, TO",1008
Tolima,Venadillo,TO,"Venadillo, TO",1009
Tolima,Villahermosa,TO,"Villahermosa, TO",1010
Tolima,Villarrica,TO,"Villarrica, TO",1011
Valle del Cauca,Alcala,VC,"Alcala, VC",1012
Valle del Cauca,Andalucia,VC,"Andalucia, VC",1013
Valle del Cauca,Ansermanuevo,VC,"Ansermanuevo, VC",1014
Valle del Cauca,Argelia,VC,"Argelia, VC",1015
Valle del Cauca,Bolivar,VC,"Bolivar, VC",1016
Valle del Cauca,Buenaventura,VC,"Buenaventura, VC",1017
Valle del Cauca,Bugalagrande,VC,"Bugalagrande, VC",1018
Valle del Cauca,Caicedonia,VC,"Caicedonia, VC",1019
Valle del Cauca,Calima,VC,"Calima, VC",1020
Valle del Cauca,Candelaria,VC,"Candelaria, VC",1021
Valle del Cauca,Cartago,VC,"Cartago, VC",1022
Valle del Cauca,Dagua,VC,"Dagua, VC",1023
Valle del Cauca,El Aguila,VC,"El Aguila, VC",1024
Valle del Cauca,El Cairo,VC,"El Cairo, VC",1025
