Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
East Timor	1	0	0	1	7.9e-07	0.0	5	2	1.25	3.95e-06	1.58e-06	9.875e-07	NA	NA	0	0
Afghanistan	237	4	5	228	6.38e-06	1.1e-07	1333.33333333	615.384615385	400	3.66666666667e-05	1.69230769231e-05	1.1e-05	NA	NA	63	0
Qatar	835	2	71	762	0.00030018	7.2e-07	666.666666667	307.692307692	200	0.00024	0.000110769230769	7.2e-05	NA	NA	54	0
Bangladesh	54	6	25	23	3.3e-07	4e-08	2000	923.076923077	600	1.33333333333e-05	6.15384615385e-06	4e-06	1602	1e-5	3	1
Bhutan	4	0	0	4	5.3e-06	0.0	20	8	5	2.65e-05	1.06e-05	6.625e-06	NA	NA	0	0
Kuwait	317	0	80	237	7.662e-05	0.0	1585	634	396.25	0.0003831	0.00015324	9.5775e-05	NA	NA	28	0
Nepal	5	0	1	4	1.8e-07	0.0	25	10	6.25	9e-07	3.6e-07	2.25e-07	NA	NA	0	0
Cambodia	109	0	25	84	6.71e-06	0.0	545	218	136.25	3.355e-05	1.342e-05	8.3875e-06	NA	NA	0	0
Laos	10	0	0	10	1.42e-06	0.0	50	20	12.5	7.1e-06	2.84e-06	1.775e-06	NA	NA	1	0
Bahrain	569	4	337	228	0.00036255	2.55e-06	1333.33333333	615.384615385	400	0.00085	0.000392307692308	0.000255	NA	NA	2	0
Brunei	131	1	52	78	0.00030539	2.33e-06	333.333333333	153.846153846	100	0.000776666666667	0.000358461538462	0.000233	NA	NA	2	0
Saudi Arabia	1720	16	264	1440	5.104e-05	4.7e-07	5333.33333333	2461.53846154	1600	0.000156666666667	7.23076923077e-05	4.7e-05	NA	NA	157	6
Iran	47593	3036	15473	29084	0.00058182	3.711e-05	1012000	467076.923077	303600	0.01237	0.00570923076923	0.003711	NA	NA	2988	138
Singapore	1000	3	245	752	0.00017735	5.3e-07	1000	461.538461538	300	0.000176666666667	8.15384615385e-05	5.3e-05	NA	NA	74	0
Jordan	278	5	36	237	2.792e-05	5e-07	1666.66666667	769.230769231	500	0.000166666666667	7.69230769231e-05	5e-05	NA	NA	4	0
Lebanon	479	14	43	422	6.994e-05	2.04e-06	4666.66666667	2153.84615385	1400	0.00068	0.000313846153846	0.000204	NA	NA	9	2
China	82361	3316	76405	2640	5.914e-05	2.38e-06	1105333.33333	510153.846154	331600	0.000793333333333	0.000366153846154	0.000238	NA	NA	82	7
Iraq	728	52	182	494	1.894e-05	1.35e-06	17333.3333333	8000	5200	0.00045	0.000207692307692	0.000135	NA	NA	34	2
Kazakhstan	380	3	26	351	2.079e-05	1.6e-07	1000	461.538461538	300	5.33333333333e-05	2.46153846154e-05	1.6e-05	NA	NA	37	1
Kyrgyzstan	111	0	3	108	1.757e-05	0.0	555	222	138.75	8.785e-05	3.514e-05	2.19625e-05	NA	NA	4	0
Maldives	19	0	13	6	3.684e-05	0.0	95	38	23.75	0.0001842	7.368e-05	4.605e-05	NA	NA	1	0
Oman	210	1	34	175	4.348e-05	2.1e-07	333.333333333	153.846153846	100	7e-05	3.23076923077e-05	2.1e-05	NA	NA	18	0
Philippines	2311	96	50	2165	2.167e-05	9e-07	32000	14769.2307692	9600	0.0003	0.000138461538462	9e-05	4342	4.3e-5	227	8
Indonesia	1677	157	103	1417	6.27e-06	5.9e-07	52333.3333333	24153.8461538	15700	0.000196666666667	9.07692307692e-05	5.9e-05	NA	NA	149	21
Vietnam	218	0	63	155	2.28e-06	0.0	1090	436	272.5	1.14e-05	4.56e-06	2.85e-06	67456	7.01e-4	6	0
Mongolia	14	0	2	12	4.42e-06	0.0	70	28	17.5	2.21e-05	8.84e-06	5.525e-06	NA	NA	2	0
Thailand	1771	12	505	1254	2.551e-05	1.7e-07	4000	1846.15384615	1200	5.66666666667e-05	2.61538461538e-05	1.7e-05	NA	NA	120	2
Syria	10	2	0	8	5.9e-07	1.2e-07	666.666666667	307.692307692	200	4e-05	1.84615384615e-05	1.2e-05	NA	NA	0	0
Taiwan	329	5	39	285	1.384e-05	2.1e-07	1666.66666667	769.230769231	500	7e-05	3.23076923077e-05	2.1e-05	NA	NA	7	0
Pakistan	2118	27	94	1997	9.98e-06	1.3e-07	9000	4153.84615385	2700	4.33333333333e-05	2e-05	1.3e-05	NA	NA	180	1
Myanmar	15	1	0	14	2.8e-07	2e-08	333.333333333	153.846153846	100	6.66666666667e-06	3.07692307692e-06	2e-06	NA	NA	0	0
United Arab Emirates	814	8	61	745	8.452e-05	8.3e-07	2666.66666667	1230.76923077	800	0.000276666666667	0.000127692307692	8.3e-05	NA	NA	150	2
India	1998	58	148	1792	1.48e-06	4e-08	19333.3333333	8923.07692308	5800	1.33333333333e-05	6.15384615385e-06	4e-06	47951	3.5e-5	601	23
Uzbekistan	181	2	12	167	5.49e-06	6e-08	666.666666667	307.692307692	200	2e-05	9.23076923077e-06	6e-06	NA	NA	9	0
Malaysia	2908	45	645	2218	9.197e-05	1.42e-06	15000	6923.07692308	4500	0.000473333333333	0.000218461538462	0.000142	NA	NA	142	2
Sri Lanka	146	3	21	122	6.74e-06	1.4e-07	1000	461.538461538	300	4.66666666667e-05	2.15384615385e-05	1.4e-05	NA	NA	3	1
Japan	2178	57	472	1649	1.721e-05	4.5e-07	19000	8769.23076923	5700	0.00015	6.92307692308e-05	4.5e-05	34508	2.74e-4	225	1
South Korea	9887	165	5567	4155	0.00019148	3.2e-06	55000	25384.6153846	16500	0.00106666666667	0.000492307692308	0.00032	421547	0.008152	101	3
Canada	9560	109	0	0	0.00025797	2.94e-06	36333.3333333	16769.2307692	10900	0.00098	0.000452307692308	0.000294	256933	0.00678	1033	8
Jamaica	44	3	2	39	1.499e-05	1.02e-06	1000	461.538461538	300	0.00034	0.000156923076923	0.000102	442	1.62e-4	8	2
Honduras	172	10	3	159	1.794e-05	1.04e-06	3333.33333333	1538.46153846	1000	0.000346666666667	0.00016	0.000104	NA	NA	31	3
Saint Lucia	13	0	1	12	7.147e-05	0.0	65	26	16.25	0.00035735	0.00014294	8.93375e-05	NA	NA	0	0
Cuba	212	6	12	194	1.87e-05	5.3e-07	2000	923.076923077	600	0.000176666666667	8.15384615385e-05	5.3e-05	NA	NA	26	0
El Salvador	32	1	0	31	4.98e-06	1.6e-07	333.333333333	153.846153846	100	5.33333333333e-05	2.46153846154e-05	1.6e-05	NA	NA	0	0
The Bahamas	21	1	1	19	5.445e-05	2.59e-06	333.333333333	153.846153846	100	0.000863333333333	0.000398461538462	0.000259	NA	NA	7	1
Panama	1181	30	9	1142	0.00028275	7.18e-06	10000	4615.38461538	3000	0.00239333333333	0.00110461538462	0.000718	7333	0.001756	0	0
Mexico	1215	29	35	1151	9.63e-06	2.3e-07	9666.66666667	4461.53846154	2900	7.66666666667e-05	3.53846153846e-05	2.3e-05	NA	NA	121	1
United States of America	213372	4757	0	0	0.00065218	1.454e-05	1585666.66667	731846.153846	475700	0.00484666666667	0.00223692307692	0.001454	1230519	0.003749	25200	884
United States of America	213372	4757	0	0	0.00065218	1.454e-05	1585666.66667	731846.153846	475700	0.00484666666667	0.00223692307692	0.001454	1230519	0.003749	25200	884
Costa Rica	375	2	4	369	7.501e-05	4e-07	666.666666667	307.692307692	200	0.000133333333333	6.15384615385e-05	4e-05	NA	NA	28	0
Saint Kitts and Nevis	8	0	0	8	0.00015255	0.0	40	16	10	0.00076275	0.0003051	0.0001906875	NA	NA	0	0
