Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Malta	0.111	2.3e-07	14.567	3.013e-05	0.004	1e-08	0.072	1.5e-07
Democratic Republic of the Congo	6098.743	7.255e-05	423252.753	0.00503464	142.711	1.7e-06	1670.446	1.987e-05
Maldives	0.149	2.9e-07	16.443	3.189e-05	0.005	1e-08	0.077	1.5e-07
Suriname	0.53	9.2e-07	18.781	3.261e-05	0.007	1e-08	0.058	1e-07
Ireland	1.016	2.1e-07	1499.171	0.00030888	0.104	2e-08	8.568	1.77e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.091	2e-08	8.66	1.78e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.079	2e-08	8.739	1.8e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.067	1e-08	8.806	1.81e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.055	1e-08	8.861	1.83e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.043	1e-08	8.904	1.83e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.03	1e-08	8.934	1.84e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.024	1e-08	8.958	1.85e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.018	0.0	8.977	1.85e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.012	0.0	8.989	1.85e-06
Ireland	0.0	0.0	1499.171	0.00030888	0.006	0.0	8.995	1.85e-06
Venezuela	1330.605	4.609e-05	47182.53	0.0016343	17.478	6.1e-07	145.863	5.05e-06
Zambia	870.388	5.016e-05	14601.734	0.00084151	5.768	3.3e-07	27.904	1.61e-06
Papua New Guinea	233.295	2.711e-05	3151.08	0.00036614	1.17	1.4e-07	4.123	4.8e-07
Zimbabwe	656.668	4.548e-05	8869.521	0.00061427	3.292	2.3e-07	11.604	8e-07
Gambia	13.01	5.71e-06	265.139	0.00011628	0.105	5e-08	0.587	2.6e-07
Kazakhstan	446.782	2.445e-05	19355.749	0.00105905	6.918	3.8e-07	65.374	3.58e-06
